gene_row_idx,gene_identifier,degree,degree_bin
1457,2098,163,7
1458,2099,2109,9
1459,2100,623,9
1460,2101,431,9
1461,2103,86,4
1462,2104,252,8
1463,2107,154,7
1464,2108,222,8
1465,2109,793,9
1466,2110,132,6
1467,2113,462,9
1468,2114,284,8
1469,2115,303,8
1470,2116,82,4
1471,2117,81,4
1472,2118,172,7
1473,2119,171,7
1474,2120,140,6
1475,2121,78,4
1476,2122,226,8
1477,2123,21,1
1478,2124,60,3
1479,2125,104,5
1480,2128,99,5
1481,2130,496,9
1482,2131,563,9
1483,2132,236,8
1484,2134,51,3
1485,2135,100,5
1486,2137,157,7
1487,2138,287,8
1488,2139,111,5
1489,2140,140,6
1490,2145,133,6
1491,2146,915,9
1492,2147,378,9
1493,2149,483,9
1494,2150,443,9
1495,2151,115,5
1496,2152,305,8
1497,2153,143,6
1498,2155,228,8
1499,2157,199,7
1500,2158,94,5
1501,2159,196,7
1502,2160,104,5
1503,2161,158,7
1504,2162,142,6
1505,2165,50,2
1506,2166,148,6
1507,2167,220,8
1508,2168,183,7
1509,2169,37,2
1510,2170,132,6
1511,2171,526,9
1512,2172,110,5
1513,2173,93,5
1514,2175,254,8
1515,2176,173,7
1516,2177,138,6
1517,2178,127,6
1518,2180,293,8
1519,2181,192,7
1520,2182,237,8
1521,2184,281,8
1522,2185,1252,9
1523,2186,167,7
1524,2187,50,2
1525,2188,174,7
1526,2189,323,8
1527,2191,155,7
1528,2192,226,8
1529,2193,149,6
1530,2194,306,8
1531,2195,335,9
1532,2196,164,7
1533,2197,194,7
1534,2199,149,6
1535,2200,216,8
1536,2201,130,6
1537,2202,207,8
1538,2203,290,8
1539,2204,105,5
1540,2205,216,8
1541,2206,64,3
1542,2207,349,9
1543,2208,96,5
1544,2209,96,5
1545,2210,52,3
1546,2212,181,7
1547,2213,107,5
1548,2214,104,5
1549,2215,72,4
1550,2217,102,5
1551,2218,103,5
1552,2219,115,5
